parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,459889.0,459889
32207,2,43675,Rothia mucilaginosa,443329.0,443329
32207,2,2047,Rothia dentocariosa,15818.0,15817
32207,2,172042,Rothia aeria,5.0,5
32207,2,396015,Rothia terrae,3.0,3
32207,2,169480,Rothia amarae,1.0,1
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),1.0,1
2689056,2,3047030,Rothia sp. SD9660Na,1.0,1
1268,1,1269,Micrococcus,404.0,404
1269,2,1270,Micrococcus luteus,257.0,257
1269,2,566027,Micrococcus yunnanensis,2.0,2
1269,1,2620948,unclassified Micrococcus,2.0,2
2620948,2,1179670,Micrococcus sp. KBS0714,1.0,1
2620948,2,3101753,Micrococcus sp. HOU1,1.0,1
1268,1,1663,Arthrobacter,5.0,5
1663,1,235627,unclassified Arthrobacter,3.0,3
235627,2,290399,Arthrobacter sp. FB24,1.0,1
235627,2,1849032,Arthrobacter sp. U41,1.0,1
1663,2,156980,Arthrobacter woluwensis,1.0,1
1268,1,57493,Kocuria,4.0,4
57493,1,2649579,unclassified Kocuria,2.0,2
2649579,2,2711328,Kocuria sp. TGY1127_2,2.0,2
57493,2,72000,Kocuria rhizophila,1.0,1
1268,1,169133,Citricoccus,1.0,1
169133,1,2632435,unclassified Citricoccus,1.0,1
2632435,2,3073268,Citricoccus sp. I39-566,1.0,1
1268,1,1160973,Auritidibacter,1.0,1
1160973,2,678932,Auritidibacter ignavus,1.0,1
85020,1,43668,Brachybacterium,2.0,2
43668,1,2623841,unclassified Brachybacterium,2.0,2
2623841,2,1903186,Brachybacterium sp. P6-10-X1,1.0,1
2623841,2,2759167,Brachybacterium sp. Z12,1.0,1
85016,1,1707,Cellulomonas,1.0,1
85016,1,458839,Actinotalea,1.0,1
458839,1,2638618,unclassified Actinotalea,1.0,1
2638618,2,2758442,Actinotalea sp. JY-7876,1.0,1
85019,1,1696,Brevibacterium,2.0,2
1696,1,2614124,unclassified Brevibacterium,1.0,1
2805590,1,265976,Serinicoccus,1.0,1
265976,2,767452,Serinicoccus chungangensis,1.0,1
85021,1,53457,Janibacter,1.0,1
53457,2,53458,Janibacter limosus,1.0,1
1655489,1,529883,Rhodoluna,1.0,1
529883,2,529884,Rhodoluna lacicola,1.0,1
1042322,1,577469,Demequina,1.0,1
577469,1,2620311,unclassified Demequina,1.0,1
2620311,2,2881056,Demequina sp. TMPB413,1.0,1
2049,1,2529408,Schaalia,4267.0,4267
2529408,2,1660,Schaalia odontolytica,4193.0,4193
2529408,1,2691889,unclassified Schaalia,43.0,43
2691889,2,3059028,Schaalia sp. HMT-172,42.0,42
2691889,2,2794089,Schaalia sp. 19OD2882,1.0,1
2529408,2,52773,Schaalia meyeri,7.0,7
2529408,2,181487,Schaalia cardiffensis,1.0,1
2049,1,1654,Actinomyces,51.0,51
1654,2,1852377,Actinomyces pacaensis,49.0,49
1654,1,2609248,unclassified Actinomyces,1.0,1
2609248,2,2079536,Actinomyces sp. Z16,1.0,1
2049,1,1069494,Trueperella,1.0,1
1069494,2,2733571,Trueperella pecoris,1.0,1
2049,1,1522056,Flaviflexus,1.0,1
1522056,2,1282737,Flaviflexus salsibiostraticola,1.0,1
2049,1,2740557,Pauljensenia,1.0,1
2740557,2,178339,Pauljensenia hongkongensis,1.0,1
1653,1,1716,Corynebacterium,6.0,6
1716,2,131081,Corynebacterium capitovis,1.0,1
1716,2,160386,Corynebacterium casei,1.0,1
1716,2,1783348,Corynebacterium guangdongense,1.0,1
1716,2,1717,Corynebacterium diphtheriae,1.0,1
85025,1,1827,Rhodococcus,2.0,2
1827,1,2840174,Rhodococcus erythropolis group,1.0,1
2840174,2,1833,Rhodococcus erythropolis,1.0,1
1827,2,1828,Rhodococcus fascians,1.0,1
85025,1,2979332,Prescottella,1.0,1
2979332,2,43767,Prescottella equi,1.0,1
2062,1,1883,Streptomyces,6.0,6
1883,1,2593676,unclassified Streptomyces,2.0,2
2593676,2,2594456,Streptomyces sp. RLB3-5,1.0,1
2593676,2,3129111,Streptomyces sp. TG1A-60,1.0,1
1883,2,2014920,Streptomyces capitiformicae,1.0,1
1883,2,379067,Streptomyces bingchenggensis,1.0,1
1883,2,40318,Streptomyces nodosus,1.0,1
2062,1,228398,Streptacidiphilus,1.0,1
228398,1,2643834,unclassified Streptacidiphilus,1.0,1
2643834,2,2705012,Streptacidiphilus sp. PB12-B1b,1.0,1
2062,1,2699295,Embleya,1.0,1
2699295,1,2699296,unclassified Embleya,1.0,1
2699296,2,2975960,Embleya sp. NBC_00888,1.0,1
85015,1,1839,Nocardioides,1.0,1
1839,1,2615069,unclassified Nocardioides,1.0,1
2615069,2,3044187,Nocardioides sp. QY071,1.0,1
85015,1,2040,Aeromicrobium,1.0,1
2726069,1,182639,Kribbella,1.0,1
182639,1,2644121,unclassified Kribbella,1.0,1
2644121,2,2903578,Kribbella sp. NBC_01245,1.0,1
31953,1,1678,Bifidobacterium,2.0,2
1678,2,216816,Bifidobacterium longum,2.0,2
31953,1,2701,Gardnerella,1.0,1
2701,2,2702,Gardnerella vaginalis,1.0,1
28056,1,1873,Micromonospora,2.0,2
1873,1,2617518,unclassified Micromonospora,1.0,1
2617518,2,3015149,Verrucosispora sp. WMMD573,1.0,1
1873,2,1003110,Micromonospora maris,1.0,1
2004,1,147067,Thermobispora,1.0,1
147067,2,2006,Thermobispora bispora,1.0,1
83676,1,83677,Thermobifida,1.0,1
83677,2,2021,Thermobifida fusca,1.0,1
2070,1,1813,Amycolatopsis,1.0,1
1643824,1,2767353,Lancefieldella,34.0,34
2767353,2,1382,Lancefieldella parvula,34.0,34
1300,1,1301,Streptococcus,30310.0,30310
1301,2,1307,Streptococcus suis,21784.0,21784
1301,2,1335,Streptococcus equinus,1642.0,1642
1301,2,2686210,Streptococcus ruminicola,835.0,835
1301,2,102684,Streptococcus infantarius,448.0,448
1301,2,315405,Streptococcus gallolyticus,334.0,334
1301,2,150055,Streptococcus lutetiensis,154.0,154
1301,2,59310,Streptococcus macedonicus,64.0,64
1301,1,2608887,unclassified Streptococcus,61.0,61
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,12.0,12
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,10.0,10
2608887,2,3028082,Streptococcus sp. 29896,9.0,9
2608887,2,712633,Streptococcus sp. oral taxon 431,4.0,4
2608887,2,3038077,Streptococcus sp. D7B5,3.0,3
2608887,2,3028084,Streptococcus sp. 29887,3.0,3
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,3.0,3
2608887,2,712623,Streptococcus sp. oral taxon 061,2.0,2
2608887,2,3098075,Streptococcus sp. S1,2.0,2
2608887,2,3028083,Streptococcus sp. 29892,2.0,2
2608887,2,2993430,Streptococcus sp. SP4011,2.0,2
2608887,2,2598453,Streptococcus sp. 116-D4,2.0,2
2608887,2,2598457,Streptococcus sp. KS 6,1.0,1
2608887,2,1759399,Streptococcus sp. A12,1.0,1
2608887,2,2954545,Streptococcus sp. FSL W7-1342,1.0,1
2608887,2,1902136,Streptococcus sp. NPS 308,1.0,1
2608887,2,2975324,Streptococcus sp. FSL R7-0248,1.0,1
2608887,2,1940319,Streptococcus sp. DAT741,1.0,1
1301,2,113107,Streptococcus australis,49.0,49
1301,2,197614,Streptococcus pasteurianus,43.0,43
1301,2,29389,Streptococcus alactolyticus,39.0,39
1301,1,119603,Streptococcus dysgalactiae group,26.0,26
119603,2,1334,Streptococcus dysgalactiae,14.0,14
119603,2,1336,Streptococcus equi,12.0,12
1301,2,1501662,Streptococcus parasuis,23.0,23
1301,2,1303,Streptococcus oralis,20.0,20
1301,2,149016,Streptococcus urinalis,17.0,17
1301,2,82348,Streptococcus pluranimalium,16.0,16
1301,2,1302,Streptococcus gordonii,15.0,15
1301,2,1304,Streptococcus salivarius,15.0,15
1301,2,1308,Streptococcus thermophilus,12.0,12
1301,2,1349,Streptococcus uberis,12.0,12
1301,2,102886,Streptococcus didelphis,11.0,11
1301,2,1340,Streptococcus porcinus,11.0,11
1301,2,1329,Streptococcus canis,11.0,11
1301,2,1346,Streptococcus iniae,9.0,9
1301,1,671232,Streptococcus anginosus group,9.0,9
671232,2,1328,Streptococcus anginosus,3.0,3
671232,2,1338,Streptococcus intermedius,3.0,3
671232,2,76860,Streptococcus constellatus,2.0,2
1301,2,400065,Streptococcus merionis,9.0,9
1301,2,1314,Streptococcus pyogenes,9.0,9
1301,2,1326,Streptococcus acidominimus,9.0,9
1301,2,1341,Streptococcus ratti,9.0,9
1301,2,28037,Streptococcus mitis,8.0,8
1301,2,1814128,Streptococcus halotolerans,8.0,8
1301,2,1311,Streptococcus agalactiae,8.0,8
1301,2,254785,Streptococcus halichoeri,8.0,8
1301,2,1318,Streptococcus parasanguinis,7.0,7
1301,2,2021971,Streptococcus respiraculi,7.0,7
1301,2,45634,Streptococcus cristatus,7.0,7
1301,2,361101,Streptococcus pseudoporcinus,7.0,7
1301,2,2781599,Streptococcus oriscaviae,6.0,6
1301,2,1309,Streptococcus mutans,6.0,6
1301,2,1348,Streptococcus parauberis,6.0,6
1301,2,1313,Streptococcus pneumoniae,6.0,6
1301,2,33040,Streptococcus milleri,5.0,5
1301,2,1310,Streptococcus sobrinus,5.0,5
1301,2,68892,Streptococcus infantis,5.0,5
1301,2,1305,Streptococcus sanguinis,4.0,4
1301,2,1888195,Streptococcus himalayensis,4.0,4
1301,2,1345,Streptococcus ferus,3.0,3
1301,2,684066,Streptococcus lactarius,3.0,3
1301,2,2173853,Streptococcus chenjunshii,3.0,3
1301,2,1917441,Streptococcus ruminantium,3.0,3
1301,2,257758,Streptococcus pseudopneumoniae,2.0,2
1301,2,1343,Streptococcus vestibularis,2.0,2
1301,2,1811193,Streptococcus pantholopis,2.0,2
1301,2,1825069,Streptococcus marmotae,1.0,1
1301,2,1234680,Streptococcus rubneri,1.0,1
1301,2,1111760,Streptococcus troglodytae,1.0,1
1301,2,2490633,Streptococcus periodonticum,1.0,1
1300,1,1357,Lactococcus,9.0,9
1357,2,1366,Lactococcus raffinolactis,3.0,3
1357,2,1358,Lactococcus lactis,1.0,1
1357,2,1359,Lactococcus cremoris,1.0,1
1357,2,1151742,Lactococcus taiwanensis,1.0,1
33958,1,1578,Lactobacillus,9.0,9
1578,2,2107999,Lactobacillus paragasseri,1.0,1
1578,2,147802,Lactobacillus iners,1.0,1
33958,1,2767879,Companilactobacillus,3.0,3
2767879,2,1612,Companilactobacillus farciminis,2.0,2
2767879,2,392416,Companilactobacillus crustorum,1.0,1
33958,1,2767881,Fructilactobacillus,2.0,2
2767881,2,1625,Fructilactobacillus sanfranciscensis,2.0,2
33958,1,2767893,Lentilactobacillus,2.0,2
2767893,2,1581,Lentilactobacillus buchneri,1.0,1
2767893,2,1588,Lentilactobacillus hilgardii,1.0,1
33958,1,1243,Leuconostoc,1.0,1
1243,2,1245,Leuconostoc mesenteroides,1.0,1
33958,1,2767885,Latilactobacillus,1.0,1
2767885,2,28038,Latilactobacillus curvatus,1.0,1
33958,1,2767887,Ligilactobacillus,1.0,1
2767887,2,1624,Ligilactobacillus salivarius,1.0,1
33958,1,2767888,Liquorilactobacillus,1.0,1
2767888,2,468911,Liquorilactobacillus hordei,1.0,1
33958,1,2767889,Loigolactobacillus,1.0,1
2767889,2,375175,Loigolactobacillus backii,1.0,1
33958,1,2767892,Secundilactobacillus,1.0,1
2767892,2,176292,Secundilactobacillus malefermentans,1.0,1
33958,1,2930384,Periweissella,1.0,1
2930384,2,2506420,Periweissella cryptocerci,1.0,1
33958,1,46255,Weissella,1.0,1
46255,2,1583,Weissella confusa,1.0,1
81852,1,1350,Enterococcus,19.0,19
1350,2,1352,Enterococcus faecium,6.0,6
1350,2,2005703,Enterococcus wangshanyuanii,3.0,3
1350,2,1354,Enterococcus hirae,2.0,2
1350,1,2608891,unclassified Enterococcus,2.0,2
2608891,2,1834193,Enterococcus sp. 9E7_DIV0242,1.0,1
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,1.0,1
1350,2,1805431,Enterococcus saigonensis,2.0,2
1350,2,53345,Enterococcus durans,2.0,2
81852,1,2737,Vagococcus,1.0,1
2737,2,81947,Vagococcus lutrae,1.0,1
81852,1,33969,Melissococcus,1.0,1
33969,2,33970,Melissococcus plutonius,1.0,1
81852,1,51668,Tetragenococcus,1.0,1
51668,2,51669,Tetragenococcus halophilus,1.0,1
186828,1,2747,Carnobacterium,2.0,2
2747,2,2748,Carnobacterium divergens,1.0,1
2747,2,2751,Carnobacterium maltaromaticum,1.0,1
186827,1,1375,Aerococcus,1.0,1
1375,2,1377,Aerococcus viridans,1.0,1
186827,1,89092,Ignavigranum,1.0,1
89092,2,89093,Ignavigranum ruoffiae,1.0,1
539738,1,1378,Gemella,76.0,76
1378,2,1379,Gemella haemolysans,76.0,76
90964,1,1279,Staphylococcus,31.0,31
1279,2,1288,Staphylococcus xylosus,13.0,13
1279,2,1280,Staphylococcus aureus,6.0,6
1279,2,29384,Staphylococcus kloosii,2.0,2
1279,2,1955013,Staphylococcus edaphicus,2.0,2
1279,2,2044912,Staphylococcus debuckii,2.0,2
1279,2,1290,Staphylococcus hominis,2.0,2
1279,2,2282419,Staphylococcus pseudoxylosus,1.0,1
1279,2,246432,Staphylococcus equorum,1.0,1
90964,1,2803850,Mammaliicoccus,6.0,6
2803850,2,1296,Mammaliicoccus sciuri,5.0,5
90964,1,69965,Macrococcus,3.0,3
69965,2,2875764,Macrococcus armenti,2.0,2
69965,2,69967,Macrococcus equipercicus,1.0,1
186817,1,1386,Bacillus,8.0,8
1386,1,86661,Bacillus cereus group,4.0,4
86661,2,1396,Bacillus cereus,1.0,1
86661,2,1405,Bacillus mycoides,1.0,1
86661,2,1428,Bacillus thuringiensis,1.0,1
86661,2,64104,Bacillus pseudomycoides,1.0,1
1386,1,653685,Bacillus subtilis group,1.0,1
653685,1,1938374,Bacillus amyloliquefaciens group,1.0,1
1938374,2,492670,Bacillus velezensis,1.0,1
186817,1,2675232,Neobacillus,4.0,4
2675232,1,2675272,unclassified Neobacillus,4.0,4
2675272,2,3047873,Neobacillus sp. WH10,1.0,1
2675272,2,3070679,Neobacillus sp. PS3-40,1.0,1
2675272,2,3070680,Neobacillus sp. OS1-2,1.0,1
2675272,2,3070682,Neobacillus sp. OS1-32,1.0,1
186817,1,2837504,Heyndrickxia,2.0,2
2837504,2,1398,Heyndrickxia coagulans,2.0,2
186817,1,2837506,Niallia,1.0,1
2837506,1,2837522,unclassified Niallia,1.0,1
2837522,2,2962858,Niallia sp. RD1,1.0,1
186817,1,84406,Virgibacillus,1.0,1
84406,1,2620237,unclassified Virgibacillus,1.0,1
2620237,2,2831673,Virgibacillus sp. NKC19-16,1.0,1
186822,1,44249,Paenibacillus,7.0,7
44249,1,185978,unclassified Paenibacillus,3.0,3
