parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,552050.0,552050
32207,2,43675,Rothia mucilaginosa,551851.0,551851
32207,2,2047,Rothia dentocariosa,154.0,154
32207,2,172042,Rothia aeria,5.0,5
32207,2,396015,Rothia terrae,1.0,1
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),1.0,1
2689056,2,2810516,Rothia sp. ZJ932,1.0,1
1268,1,1269,Micrococcus,11604.0,11604
1269,2,1270,Micrococcus luteus,6323.0,6323
1269,2,1273,Micrococcus lylae,4563.0,4563
1269,1,2620948,unclassified Micrococcus,87.0,87
2620948,2,3142261,Micrococcus sp. 2A,71.0,71
2620948,2,3101753,Micrococcus sp. HOU1,14.0,14
2620948,2,1179670,Micrococcus sp. KBS0714,2.0,2
1269,2,2856555,Micrococcus porci,10.0,10
1269,2,566027,Micrococcus yunnanensis,8.0,8
1269,2,574650,Micrococcus terreus,4.0,4
1268,1,1663,Arthrobacter,46.0,46
1663,1,235627,unclassified Arthrobacter,32.0,32
235627,2,2079227,Arthrobacter sp. PGP41,13.0,13
235627,2,1704044,Arthrobacter sp. ERGS1:01,3.0,3
235627,2,2886938,Arthrobacter sp. zg-Y20,3.0,3
235627,2,2654190,Arthrobacter sp. JZ12,2.0,2
235627,2,2830993,Arthrobacter sp. StoSoilB13,1.0,1
235627,2,2830997,Arthrobacter sp. NicSoilB4,1.0,1
235627,2,2828862,Arthrobacter sp. Helios,1.0,1
235627,2,2861279,Arthrobacter sp. PAMC25284,1.0,1
235627,2,2879617,Arthrobacter sp. FW305-BF8,1.0,1
235627,2,2955314,Arthrobacter sp. H16F315,1.0,1
235627,2,2987701,Arthrobacter sp. YA7-1,1.0,1
1663,2,2886935,Arthrobacter caoxuetaonis,4.0,4
1663,2,1670,Arthrobacter citreus,3.0,3
1663,2,2486855,Arthrobacter sulfonylureivorans,2.0,2
1663,2,2964609,Arthrobacter jinronghuae,1.0,1
1663,2,156980,Arthrobacter woluwensis,1.0,1
1663,2,2816859,Arthrobacter sunyaminii,1.0,1
1268,1,57493,Kocuria,19.0,19
57493,2,72000,Kocuria rhizophila,8.0,8
57493,2,1275,Kocuria rosea,5.0,5
57493,2,1272,Kocuria varians,1.0,1
57493,2,446860,Kocuria flava,1.0,1
57493,2,1049583,Kocuria indica,1.0,1
1268,1,1742993,Pseudarthrobacter,14.0,14
1742993,2,85085,Pseudarthrobacter chlorophenolicus,6.0,6
1742993,2,410837,Pseudarthrobacter defluvii,4.0,4
1742993,2,361575,Pseudarthrobacter phenanthrenivorans,1.0,1
1742993,1,2647000,unclassified Pseudarthrobacter,1.0,1
2647000,2,3092262,Pseudarthrobacter sp. IC2-21,1.0,1
1268,1,1742992,Paenarthrobacter,11.0,11
1742992,1,2634190,unclassified Paenarthrobacter,2.0,2
2634190,2,2782567,Paenarthrobacter sp. GOM3,2.0,2
1268,1,1742989,Glutamicibacter,4.0,4
1742989,2,37930,Glutamicibacter protophormiae,4.0,4
1268,1,2078575,Psychromicrobium,3.0,3
2078575,2,1618207,Psychromicrobium lacuslunae,3.0,3
1268,1,1160973,Auritidibacter,1.0,1
85021,1,53457,Janibacter,47510.0,47510
53457,2,53458,Janibacter limosus,47390.0,47390
53457,2,1285192,Janibacter cremeus,3.0,3
53457,1,2649294,unclassified Janibacter,3.0,3
2649294,2,2963431,Janibacter sp. CX7,3.0,3
53457,2,103817,Janibacter terrae,1.0,1
85021,1,53355,Terrabacter,9.0,9
53355,1,2630222,unclassified Terrabacter,9.0,9
2630222,2,3108389,Terrabacter sp. C0L_2,9.0,9
85021,1,367298,Phycicoccus,6.0,6
367298,1,2637926,unclassified Phycicoccus,6.0,6
2637926,2,2714941,Phycicoccus sp. HDW14,6.0,6
85023,1,33882,Microbacterium,121.0,121
33882,1,2609290,unclassified Microbacterium,23.0,23
2609290,2,3049072,Microbacterium sp. zg-Y818,7.0,7
2609290,2,3041512,Microbacterium sp. F6_8S_P_2B,6.0,6
2609290,2,1906274,Microbacterium sp. JZ31,2.0,2
2609290,2,2982533,Microbacterium sp. A(2022),1.0,1
2609290,2,2268461,Microbacterium sp. ABRD28,1.0,1
2609290,2,3050384,Microbacterium sp. ET2,1.0,1
2609290,2,3135258,Microbacterium sp. LWH11-1.2,1.0,1
2609290,2,3135262,Microbacterium sp. LWO13-1.2,1.0,1
2609290,2,1714373,Microbacterium sp. No. 7,1.0,1
2609290,2,2925844,Microbacterium sp. H1-D42,1.0,1
33882,2,2782168,Microbacterium atlanticum,13.0,13
33882,2,2509458,Microbacterium protaetiae,12.0,12
33882,2,2851649,Microbacterium sufflavum,9.0,9
33882,2,344163,Microbacterium terricola,9.0,9
33882,2,273677,Microbacterium oleivorans,7.0,7
33882,2,57043,Microbacterium esteraromaticum,4.0,4
33882,2,2909587,Microbacterium elymi,3.0,3
33882,2,2614639,Microbacterium lushaniae,3.0,3
33882,2,904291,Microbacterium sediminis,3.0,3
33882,2,3079935,Microbacterium limosum,2.0,2
33882,2,1816425,Microbacterium plantarum,2.0,2
33882,2,683047,Microbacterium suwonense,2.0,2
33882,2,273678,Microbacterium hydrocarbonoxydans,1.0,1
33882,2,33918,Microbacterium liquefaciens,1.0,1
33882,2,515415,Microbacterium invictum,1.0,1
33882,2,36805,Microbacterium aurum,1.0,1
33882,2,104336,Microbacterium foliorum,1.0,1
33882,2,936337,Microbacterium amylolyticum,1.0,1
85023,1,55968,Leucobacter,26.0,26
55968,2,2932245,Leucobacter rhizosphaerae,13.0,13
55968,2,2714935,Leucobacter viscericola,5.0,5
55968,2,283878,Leucobacter aridicollis,4.0,4
55968,1,2621730,unclassified Leucobacter,4.0,4
2621730,2,2813744,Leucobacter sp. CX169,4.0,4
85023,1,110932,Leifsonia,19.0,19
110932,1,2663824,unclassified Leifsonia,7.0,7
2663824,2,2724914,Leifsonia sp. PS1209,5.0,5
110932,2,1575,Leifsonia xyli,6.0,6
110932,2,150026,Leifsonia shinshuensis,6.0,6
85023,1,33886,Rathayibacter,14.0,14
33886,2,59737,Rathayibacter iranicus,11.0,11
33886,2,1891671,Rathayibacter oskolensis,3.0,3
85023,1,235888,Salinibacterium,12.0,12
235888,2,2079791,Salinibacterium hongtaonis,6.0,6
235888,1,2632331,unclassified Salinibacterium,6.0,6
2632331,2,2708338,Salinibacterium sp. ZJ450,3.0,3
2632331,2,2603292,Salinibacterium sp. dk2585,2.0,2
2632331,2,2508880,Salinibacterium sp. UTAS2018,1.0,1
85023,1,33877,Agromyces,11.0,11
33877,2,453304,Agromyces aureus,6.0,6
33877,1,2639701,unclassified Agromyces,4.0,4
2639701,2,2932244,Agromyces sp. H17E-10,4.0,4
33877,2,659012,Agromyces soli,1.0,1
85023,1,881616,Herbiconiux,11.0,11
881616,1,2618217,unclassified Herbiconiux,11.0,11
