parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
481,1,482,Neisseria,614711.0,614711
482,2,28449,Neisseria subflava,534746.0,534746
482,2,488,Neisseria mucosa,12756.0,12756
482,2,487,Neisseria meningitidis,5752.0,5752
482,2,484,Neisseria flavescens,4691.0,4691
482,1,2623750,unclassified Neisseria,1368.0,1368
2623750,2,2972775,Neisseria sp. Marseille-Q5346,438.0,438
2623750,2,3077590,Neisseria sp. DTU_2021_1001991_1_SI_NGA_ILE_055,382.0,382
2623750,2,1871109,Neisseria sp. RH3002v2g,352.0,352
2623750,2,641148,Neisseria sp. oral taxon 014,43.0,43
2623750,2,2937985,Neisseria sp. Marseille-Q6792,34.0,34
2623750,2,655307,Neisseria sp. KEM232,19.0,19
2623750,2,2912675,Neisseria sp. Dent CA1/247,9.0,9
2623750,2,2995413,Neisseria sp. 3986,3.0,3
2623750,2,2995414,Neisseria sp. 51.81,1.0,1
482,2,485,Neisseria gonorrhoeae,158.0,158
482,2,267212,Neisseria bacilliformis,109.0,109
482,2,33053,Neisseria perflava,92.0,92
482,2,486,Neisseria lactamica,80.0,80
482,2,495,Neisseria elongata,67.0,67
482,2,640030,Neisseria zalophi,62.0,62
482,2,28091,Neisseria weaveri,53.0,53
482,2,490,Neisseria sicca,52.0,52
482,2,1853278,Neisseria chenwenguii,52.0,52
482,2,607711,Neisseria wadsworthii,41.0,41
482,2,496,Neisseria macacae,39.0,39
482,2,1931275,Neisseria dumasiana,37.0,37
482,2,1853276,Neisseria weixii,36.0,36
482,2,2912188,Neisseria lisongii,27.0,27
482,2,492,Neisseria animalis,23.0,23
482,2,194197,Neisseria dentiae,21.0,21
482,2,2666100,Neisseria brasiliensis,20.0,20
482,2,607712,Neisseria shayeganii,19.0,19
482,2,483,Neisseria cinerea,19.0,19
482,2,2709396,Neisseria yangbaofengii,19.0,19
482,2,1470200,Neisseria arctica,17.0,17
482,2,326522,Neisseria animaloris,15.0,15
482,2,1815583,Neisseria musculi,9.0,9
482,2,493,Neisseria canis,8.0,8
482,2,326523,Neisseria zoodegmatis,2.0,2
481,1,299568,Uruburuella,16.0,16
299568,2,1282863,Uruburuella testudinis,12.0,12
299568,2,252130,Uruburuella suis,4.0,4
481,1,32257,Kingella,6.0,6
32257,2,505,Kingella oralis,4.0,4
32257,2,504,Kingella kingae,1.0,1
32257,2,1522312,Kingella negevensis,1.0,1
481,1,194195,Alysiella,4.0,4
194195,2,153491,Alysiella crassa,4.0,4
481,1,334107,Conchiformibius,4.0,4
334107,2,153493,Conchiformibius steedae,4.0,4
481,1,1193515,Snodgrassella,3.0,3
1193515,2,1196083,Snodgrassella alvi,1.0,1
1193515,2,2946699,Snodgrassella communis,1.0,1
481,1,59,Vitreoscilla,1.0,1
59,2,61,Vitreoscilla stercoraria,1.0,1
481,1,212742,Morococcus,1.0,1
212742,2,1056807,Morococcus cerebrosus,1.0,1
481,1,2898489,Paralysiella,1.0,1
2898489,2,2809020,Paralysiella testudinis,1.0,1
119060,1,47670,Lautropia,412.0,412
47670,2,47671,Lautropia mirabilis,412.0,412
119060,1,44013,Polynucleobacter,34.0,34
44013,1,2640945,unclassified Polynucleobacter,19.0,19
44013,2,1743174,Polynucleobacter tropicus,15.0,15
119060,1,32008,Burkholderia,7.0,7
32008,1,111527,pseudomallei group,1.0,1
111527,2,28450,Burkholderia pseudomallei,1.0,1
119060,1,48736,Ralstonia,3.0,3
48736,1,3116862,Ralstonia solanacearum species complex,3.0,3
3116862,2,305,Ralstonia solanacearum,3.0,3
119060,1,1822464,Paraburkholderia,3.0,3
1822464,2,134537,Paraburkholderia fungorum,2.0,2
1822464,2,273251,Paraburkholderia sabiae,1.0,1
119060,1,106589,Cupriavidus,2.0,2
106589,2,164546,Cupriavidus taiwanensis,1.0,1
119060,1,93217,Pandoraea,1.0,1
93217,1,2624094,unclassified Pandoraea,1.0,1
2895353,1,75654,Duganella,16.0,16
75654,2,2728021,Duganella dendranthematis,16.0,16
2975441,1,34102,Sphaerotilus,12.0,12
34102,2,2914710,Sphaerotilus microaerophilus,12.0,12
2975441,1,93681,Roseateles,4.0,4
93681,2,3019553,Paucibacter sediminis,4.0,4
506,1,222,Achromobacter,1.0,1
222,2,85698,Achromobacter xylosoxidans,1.0,1
80864,1,12916,Acidovorax,1.0,1
12916,1,2684926,unclassified Acidovorax,1.0,1
2684926,2,2940488,Acidovorax sp. NCPPB 3576,1.0,1
995019,1,40544,Sutterella,1.0,1
40544,2,2584944,Sutterella faecalis,1.0,1
2008790,1,1938335,Sulfuritortus,2.0,2
1938335,2,1914471,Sulfuritortus calidifontis,2.0,2
2705999,1,2706000,Casimicrobium,1.0,1
2706000,2,2591109,Casimicrobium huifangae,1.0,1
2008794,1,12960,Azoarcus,1.0,1
12960,1,2629479,unclassified Azoarcus,1.0,1
2629479,2,748247,Azoarcus sp. KH32C,1.0,1
712,1,724,Haemophilus,33931.0,33931
724,2,729,Haemophilus parainfluenzae,33402.0,33402
724,2,726,Haemophilus haemolyticus,150.0,150
724,2,727,Haemophilus influenzae,134.0,134
724,2,735,Haemophilus parahaemolyticus,22.0,22
712,1,416916,Aggregatibacter,2.0,2
416916,2,732,Aggregatibacter aphrophilus,1.0,1
712,1,745,Pasteurella,2.0,2
745,2,747,Pasteurella multocida,2.0,2
135621,1,286,Pseudomonas,97.0,97
286,1,196821,unclassified Pseudomonas,25.0,25
196821,2,2986947,Pseudomonas sp. WJP1,12.0,12
196821,2,2871095,Pseudomonas sp. DR48,8.0,8
196821,2,3078264,Pseudomonas sp. C9-3,4.0,4
196821,2,2893890,Pseudomonas sp. KNUC1026,1.0,1
286,1,136845,Pseudomonas putida group,12.0,12
136845,2,303,Pseudomonas putida,12.0,12
286,2,191390,Pseudomonas palleroniana,7.0,7
286,1,136843,Pseudomonas fluorescens group,6.0,6
136843,2,1421430,Pseudomonas granadensis,6.0,6
286,2,437900,Pseudomonas marincola,3.0,3
286,2,157782,Pseudomonas parafulva,1.0,1
286,1,136849,Pseudomonas syringae group,1.0,1
135621,1,2901164,Stutzerimonas,1.0,1
2901164,1,136846,Stutzerimonas stutzeri group,1.0,1
136846,2,74829,Stutzerimonas balearica,1.0,1
543,1,547,Enterobacter,5.0,5
547,2,2494702,Enterobacter huaxiensis,5.0,5
2890311,1,160674,Raoultella,2.0,2
160674,2,54291,Raoultella ornithinolytica,2.0,2
543,1,561,Escherichia,1.0,1
543,1,590,Salmonella,1.0,1
590,2,28901,Salmonella enterica,1.0,1
84563,1,801,Symbiopectobacterium,1.0,1
801,2,2871826,Symbiopectobacterium purcellii,1.0,1
1903411,1,34037,Rahnella,3.0,3
34037,2,1805933,Rahnella sikkimica,3.0,3
1903411,1,1964366,Nissabacter,1.0,1
1964366,1,2636213,unclassified Nissabacter,1.0,1
2636213,2,2126321,Nissabacter sp. SGAir0207,1.0,1
1903414,1,581,Morganella,1.0,1
581,2,582,Morganella morganii,1.0,1
32033,1,40323,Stenotrophomonas,9.0,9
40323,1,995085,Stenotrophomonas maltophilia group,2.0,2
995085,1,2961925,unclassified Stenotrophomonas maltophilia group,2.0,2
2961925,2,2072406,Stenotrophomonas sp. ZAC14D2_NAIMI4_6,2.0,2
40323,1,196198,unclassified Stenotrophomonas,1.0,1
196198,2,2040586,Stenotrophomonas sp. Pemsol,1.0,1
32033,1,83618,Pseudoxanthomonas,7.0,7
83618,2,2480810,Pseudoxanthomonas winnipegensis,7.0,7
32033,1,338,Xanthomonas,1.0,1
338,2,56455,Xanthomonas hyacinthi,1.0,1
32033,1,83614,Luteimonas,1.0,1
83614,1,2629088,unclassified Luteimonas,1.0,1
2629088,2,2799325,Luteimonas sp. MC1572,1.0,1
1775411,1,323413,Dokdonella,7.0,7
323413,2,323415,Dokdonella koreensis,7.0,7
1775411,1,231454,Dyella,1.0,1
231454,2,445710,Dyella thiooxydans,1.0,1
1775411,1,242605,Luteibacter,1.0,1
1046,1,85073,Thermochromatium,11.0,11
85073,2,1050,Thermochromatium tepidum,11.0,11
1046,1,13724,Thiocystis,1.0,1
13724,2,73141,Thiocystis violascens,1.0,1
1046,1,61593,Thiorhodovibrio,1.0,1
61593,2,77007,Thiorhodovibrio winogradskyi,1.0,1
72276,1,1051,Ectothiorhodospira,1.0,1
1051,1,2684909,unclassified Ectothiorhodospira,1.0,1
2684909,2,1442136,Ectothiorhodospira sp. BSL-9,1.0,1
641,1,657,Photobacterium,9.0,9
657,2,865757,Photobacterium atrarenae,9.0,9
641,1,662,Vibrio,2.0,2
662,1,1891919,Vibrio oreintalis group,2.0,2
1891919,2,29498,Vibrio tubiashii,2.0,2
84642,1,642,Aeromonas,10.0,10
642,2,645,Aeromonas salmonicida,7.0,7
28256,1,2745,Halomonas,6.0,6
2745,2,2746,Halomonas elongata,6.0,6
267893,1,135575,Idiomarina,3.0,3
135575,1,2614829,unclassified Idiomarina,3.0,3
2614829,2,2100422,Idiomarina sp. OT37-5b,3.0,3
267890,1,22,Shewanella,1.0,1
22,2,60478,Shewanella amazonensis,1.0,1
468,1,497,Psychrobacter,2.0,2
497,1,196806,unclassified Psychrobacter,2.0,2
468,1,469,Acinetobacter,1.0,1
469,2,202950,Acinetobacter baylyi,1.0,1
135616,1,933,Thiomicrospira,2.0,2
933,2,406020,Thiomicrospira microaerophila,2.0,2
403,1,416,Methylomonas,1.0,1
416,2,2963939,Methylomonas rapida,1.0,1
227290,1,357,Agrobacterium,10.0,10
357,1,1183400,Agrobacterium tumefaciens complex,9.0,9
1183400,2,358,Agrobacterium tumefaciens,9.0,9
357,2,373,Agrobacterium vitis,1.0,1
227290,1,1612611,Pararhizobium,2.0,2
1612611,1,2643050,unclassified Pararhizobium,2.0,2
2643050,2,2986923,Pararhizobium sp. BT-229,2.0,2
227290,1,379,Rhizobium,1.0,1
379,1,2613769,unclassified Rhizobium,1.0,1
2613769,2,2603277,Rhizobium sp. WL3,1.0,1
227290,1,1903858,Pseudorhizobium,1.0,1
1903858,2,1335061,Pseudorhizobium flavum,1.0,1
227292,1,28105,Sinorhizobium,11.0,11
28105,2,1752398,Sinorhizobium alkalisoli,11.0,11
227292,1,106591,Ensifer,1.0,1
106591,2,106592,Ensifer adhaerens,1.0,1
82115,1,2040486,Gellertiella,7.0,7
2040486,1,2040488,environmental samples,7.0,7
2040488,2,2040489,uncultured Gellertiella sp.,7.0,7
82115,1,274591,Hoeflea,1.0,1
274591,2,244596,Hoeflea phototrophica,1.0,1
41294,1,374,Bradyrhizobium,18.0,18
374,1,2631580,unclassified Bradyrhizobium,16.0,16
2631580,2,3140245,Bradyrhizobium sp. B124,12.0,12
