parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186827,1,1375,Aerococcus,44894,44894
1375,2,87541,Aerococcus christensenii,44847,44847
1375,1,3078850,Aerococcus incertae sedis,9,9
3078850,2,2976812,Aerococcus sp. Group 1,9,9
1375,2,1377,Aerococcus viridans,3,3
1375,2,119206,Aerococcus sanguinicola,3,3
1375,2,2976809,Aerococcus loyolae,3,3
1375,2,51665,Aerococcus urinaeequi,2,2
186827,1,66831,Facklamia,9,9
66831,2,178214,Facklamia hominis,9,9
81852,1,2737,Vagococcus,38149,38149
2737,2,2571750,Vagococcus zengguangii,37868,37868
2737,2,2562451,Vagococcus xieshaowenii,6,6
2737,2,2991418,Vagococcus intermedius,2,2
2737,2,218144,Vagococcus carniphilus,1,1
81852,1,1350,Enterococcus,62,62
1350,2,1352,Enterococcus faecium,17,17
1350,2,1351,Enterococcus faecalis,17,17
1350,2,1354,Enterococcus hirae,6,6
1350,1,2608891,unclassified Enterococcus,5,5
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,4,4
2608891,2,2230879,Enterococcus sp. DIV0849a,1,1
1350,2,37734,Enterococcus casseliflavus,3,3
1350,2,44008,Enterococcus cecorum,1,1
1350,2,44009,Enterococcus dispar,1,1
81852,1,51668,Tetragenococcus,1,1
51668,2,51669,Tetragenococcus halophilus,1,1
186828,1,191769,Marinilactibacillus,20345,20345
191769,1,2632303,unclassified Marinilactibacillus,20345,20345
2632303,2,1911586,Marinilactibacillus sp. 15R,20345,20345
186828,1,29393,Dolosigranulum,12,12
29393,2,29394,Dolosigranulum pigrum,12,12
186828,1,2747,Carnobacterium,3,3
2747,2,2751,Carnobacterium maltaromaticum,2,2
2747,2,174587,Carnobacterium viridans,1,1
186828,1,117563,Granulicatella,2,2
117563,2,137732,Granulicatella elegans,2,2
186828,1,1470540,Jeotgalibaca,1,1
1470540,2,2496265,Jeotgalibaca ciconiae,1,1
33958,1,1253,Pediococcus,8005,8005
1253,2,1255,Pediococcus pentosaceus,7961,7961
1253,1,1670797,Pediococcus acidilactici group,2,2
1670797,2,1254,Pediococcus acidilactici,2,2
1253,2,187452,Pediococcus claussenii,1,1
33958,1,1578,Lactobacillus,6,6
1578,1,2620435,unclassified Lactobacillus,2,2
2620435,2,2983211,Lactobacillus sp. ESL0681,1,1
