parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
539738,1,1378,Gemella,41973,41973
1378,2,84135,Gemella sanguinis,41896,41896
1378,2,29391,Gemella morbillorum,9,9
1378,2,1379,Gemella haemolysans,5,5
1378,1,2624949,unclassified Gemella,2,2
2624949,2,2040624,Gemella sp. ND 6198,1,1
186817,1,84406,Virgibacillus,32532,32532
84406,2,1482,Virgibacillus halodenitrificans,32297,32297
84406,1,2620237,unclassified Virgibacillus,4,4
2620237,2,403957,Virgibacillus sp. SK37,2,2
2620237,2,2419841,Virgibacillus sp. Bac330,1,1
2620237,2,2831673,Virgibacillus sp. NKC19-16,1,1
84406,2,1473,Virgibacillus pantothenticus,1,1
84406,2,163877,Virgibacillus necropolis,1,1
186817,1,1386,Bacillus,3895,3895
1386,1,86661,Bacillus cereus group,3097,3097
86661,2,1428,Bacillus thuringiensis,1173,1173
86661,2,1396,Bacillus cereus,401,401
86661,2,1405,Bacillus mycoides,85,85
86661,2,1890302,Bacillus wiedmannii,52,52
86661,2,64104,Bacillus pseudomycoides,30,30
86661,2,155322,Bacillus toyonensis,29,29
86661,2,1392,Bacillus anthracis,28,28
86661,2,2026188,Bacillus tropicus,20,20
86661,2,2026191,Bacillus luti,19,19
86661,2,580165,Bacillus cytotoxicus,17,17
86661,2,2026187,Bacillus pacificus,15,15
86661,2,2026186,Bacillus paranthracis,14,14
86661,2,2026193,Bacillus nitratireducens,13,13
86661,2,2026194,Bacillus paramycoides,13,13
86661,1,2750818,unclassified Bacillus cereus group,9,9
2750818,2,2217832,Bacillus sp. JAS24-2,6,6
2750818,2,2053832,Bacillus sp. HBCD-sjtu,1,1
86661,2,2817477,Bacillus paramobilis,8,8
86661,2,2026189,Bacillus albus,7,7
86661,2,658666,Bacillus bombysepticus,4,4
1386,1,185979,unclassified Bacillus (in: firmicutes),40,40
185979,2,3052091,Bacillus sp. DX3.1,13,13
185979,2,2925318,Bacillus sp. N5-665,5,5
185979,2,1806216,Bacillus sp. RZ2MS9,4,4
185979,2,2499213,Bacillus sp. BD59S,3,3
185979,2,2796141,Bacillus sp. HNR-4,2,2
185979,2,2660750,Bacillus sp. A260,2,2
185979,2,3098077,Bacillus sp. 31A1R,1,1
185979,2,1705566,Bacillus sp. FJAT-18017,1,1
185979,2,3077323,Bacillus sp. SI2,1,1
185979,2,3103135,Bacillus sp. OK-29,1,1
185979,2,2876713,Bacillus sp. 41-22,1,1
185979,2,2954601,Bacillus sp. FSL E2-8900,1,1
185979,2,393065,Bacillus sp. E25,1,1
185979,2,2928154,Bacillus sp. ZJS3,1,1
185979,2,3126755,Bacillus sp. BR3(2024),1,1
185979,2,3129297,Bacillus sp. FJAT-52991,1,1
185979,2,2233998,Bacillus sp. COPE52,1,1
1386,2,2819290,Bacillus arachidis,5,5
1386,1,653685,Bacillus subtilis group,5,5
653685,1,1938374,Bacillus amyloliquefaciens group,3,3
1938374,2,492670,Bacillus velezensis,3,3
653685,2,1423,Bacillus subtilis,1,1
653685,2,1452,Bacillus atrophaeus,1,1
1386,2,1547283,Bacillus weihaiensis,2,2
1386,2,561879,Bacillus safensis,2,2
1386,1,1792192,Bacillus altitudinis complex,1,1
1792192,2,293387,Bacillus altitudinis,1,1
1386,2,1471,Bacillus methanolicus,1,1
1386,2,1455,Bacillus badius,1,1
186817,1,2675232,Neobacillus,12,12
2675232,2,1193713,Neobacillus mesonae,10,10
2675232,1,2675272,unclassified Neobacillus,2,2
2675272,2,3070678,Neobacillus sp. PS3-34,1,1
2675272,2,3070682,Neobacillus sp. OS1-32,1,1
186817,1,175304,Lentibacillus,2,2
175304,2,1472767,Lentibacillus amyloliquefaciens,1,1
175304,2,2911514,Lentibacillus daqui,1,1
186817,1,2675229,Peribacillus,1,1
2675229,2,228899,Peribacillus asahii,1,1
186817,1,2675233,Metabacillus,1,1
2675233,2,2567941,Metabacillus sediminilitoris,1,1
