parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186803,1,1164882,Lachnoanaerobaculum,177939,177949
1164882,2,617123,Lachnoanaerobaculum umeaense,177643,177653
1164882,2,2490855,Lachnoanaerobaculum gingivalis,20,20
186803,1,2316020,Mediterraneibacter,5,5
2316020,2,33039,[Ruminococcus] torques,5,5
186803,1,1769710,Sellimonas,1,1
1769710,2,1653434,Sellimonas intestinalis,1,1
186803,1,207244,Anaerostipes,1,1
207244,2,1229621,Anaerostipes rhamnosivorans,1,1
3030910,1,86331,Mogibacterium,51080,51083
86331,2,114527,Mogibacterium diversum,50929,50932
86331,2,86332,Mogibacterium pumilum,6,6
86331,2,114528,Mogibacterium neglectum,3,3
186804,1,1870884,Clostridioides,6,6
1870884,2,1496,Clostridioides difficile,6,6
31979,1,1485,Clostridium,25063,25064
1485,2,1492,Clostridium butyricum,17058,17059
1485,1,2614128,unclassified Clostridium,95,95
2614128,2,2992805,Clostridium sp. LQ25,59,59
2614128,2,641107,Clostridium sp. DL-VIII,16,16
2614128,2,2930219,Clostridium sp. BJN0001,10,10
2614128,2,3070681,Clostridium sp. OS1-26,2,2
2614128,2,1702238,Clostridium sp. MF28,1,1
2614128,2,2212991,Clostridium sp. AWRP,1,1
2614128,2,2483110,Clostridium sp. JN-1,1,1
1485,2,169679,Clostridium saccharobutylicum,49,49
1485,2,1520,Clostridium beijerinckii,19,19
1485,2,36745,Clostridium saccharoperbutylacetonicum,18,18
1485,2,704125,Clostridium gelidum,16,16
1485,2,1561,Clostridium baratii,16,16
1485,2,1491,Clostridium botulinum,14,14
1485,2,394958,Clostridium taeniosporum,13,13
1485,2,1504,Clostridium septicum,8,8
1485,2,182773,Clostridium isatidis,7,7
1485,2,1488,Clostridium acetobutylicum,6,6
1485,2,1502,Clostridium perfringens,5,5
1485,2,1529,Clostridium cadaveris,5,5
1485,2,1534,Clostridium kluyveri,5,5
1485,2,46867,Clostridium chauvoei,5,5
1485,2,36845,Clostridium intestinale,5,5
1485,2,1542,Clostridium novyi,4,4
1485,2,360422,Clostridium tagluense,3,3
1485,2,94869,Clostridium gasigenes,2,2
1485,2,36839,Clostridium felsineum,2,2
1485,2,238834,Clostridium estertheticum,2,2
1485,2,1493,Clostridium cellulovorans,2,2
1485,2,2320868,Clostridium manihotivorum,2,2
1485,2,223919,Clostridium diolis,1,1
1485,2,1509,Clostridium sporogenes,1,1
1485,2,1216932,Clostridium bornimense,1,1
1485,2,1494,Clostridium cochlearium,1,1
1485,2,29341,Clostridium argentinense,1,1
1485,2,1501,Clostridium pasteurianum,1,1
1485,2,1513,Clostridium tetani,1,1
216572,1,216851,Faecalibacterium,1656,1656
216851,2,853,Faecalibacterium prausnitzii,1603,1603
216851,2,411483,Faecalibacterium duncaniae,1,1
216572,1,3079925,Amygdalobacter,1,1
3079925,2,3029274,Amygdalobacter nucleatus,1,1
