parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186827,1,1375,Aerococcus,91452,91769
1375,2,87541,Aerococcus christensenii,91446,91763
1375,2,51665,Aerococcus urinaeequi,2,2
186827,1,13075,Globicatella,2,2
13075,1,2636139,unclassified Globicatella,2,2
2636139,2,2885764,Globicatella sp. PHS-GS-PNBC-21-1553,2,2
186827,1,66831,Facklamia,1,1
66831,2,178214,Facklamia hominis,1,1
186828,1,191769,Marinilactibacillus,42621,42769
191769,1,2632303,unclassified Marinilactibacillus,42621,42769
2632303,2,1911586,Marinilactibacillus sp. 15R,42621,42769
186828,1,2747,Carnobacterium,7,7
2747,2,2751,Carnobacterium maltaromaticum,3,3
2747,2,2748,Carnobacterium divergens,1,1
2747,2,147709,Carnobacterium inhibens,1,1
186828,1,29393,Dolosigranulum,3,3
29393,2,29394,Dolosigranulum pigrum,3,3
186828,1,1470540,Jeotgalibaca,2,2
1470540,2,1868793,Jeotgalibaca porci,1,1
1470540,1,2621505,unclassified Jeotgalibaca,1,1
2621505,2,1903686,Jeotgalibaca sp. PTS2502,1,1
186828,1,117563,Granulicatella,1,1
117563,2,46124,Granulicatella adiacens,1,1
81852,1,2737,Vagococcus,18610,18674
2737,2,2571750,Vagococcus zengguangii,18569,18633
2737,2,2738,Vagococcus fluvialis,1,1
2737,2,2714946,Vagococcus coleopterorum,1,1
81852,1,1350,Enterococcus,227,227
1350,2,1352,Enterococcus faecium,71,71
1350,2,1351,Enterococcus faecalis,65,65
1350,2,1354,Enterococcus hirae,29,29
1350,2,44008,Enterococcus cecorum,13,13
1350,1,2608891,unclassified Enterococcus,4,4
2608891,2,3050383,Enterococcus sp. FZMF,2,2
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,2,2
1350,2,44009,Enterococcus dispar,3,3
1350,2,37734,Enterococcus casseliflavus,2,2
1350,2,357441,Enterococcus lactis,1,1
1350,2,160453,Enterococcus gilvus,1,1
1300,1,1357,Lactococcus,6171,6192
1357,2,1366,Lactococcus raffinolactis,6119,6140
1357,2,1358,Lactococcus lactis,6,6
1357,2,1364,Lactococcus piscium,1,1
1300,1,1301,Streptococcus,112,112
1301,2,1311,Streptococcus agalactiae,38,38
1301,2,1313,Streptococcus pneumoniae,27,27
1301,2,1314,Streptococcus pyogenes,10,10
1301,2,1307,Streptococcus suis,6,6
1301,2,1501662,Streptococcus parasuis,4,4
1301,1,119603,Streptococcus dysgalactiae group,3,3
119603,2,1334,Streptococcus dysgalactiae,3,3
1301,1,2608887,unclassified Streptococcus,3,3
2608887,2,1940319,Streptococcus sp. DAT741,3,3
1301,2,1308,Streptococcus thermophilus,2,2
1301,1,671232,Streptococcus anginosus group,2,2
671232,2,1328,Streptococcus anginosus,2,2
