parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
31977,1,29465,Veillonella,75345,75345
29465,2,39777,Veillonella atypica,75069,75069
29465,2,29466,Veillonella parvula,11,11
29465,2,423477,Veillonella rogosae,4,4
29465,2,248315,Veillonella rodentium,2,2
1843491,1,970,Selenomonas,26448,26448
970,1,2637378,unclassified Selenomonas,26428,26428
2637378,2,713030,Selenomonas sp. oral taxon 136,25147,25147
2637378,2,712538,Selenomonas sp. oral taxon 478,23,23
2637378,2,1884263,Selenomonas sp. oral taxon 920,5,5
2637378,2,712528,Selenomonas sp. oral taxon 126,1,1
970,2,69823,Selenomonas sputigena,1,1
909930,1,33024,Phascolarctobacterium,1,1
33024,2,33025,Phascolarctobacterium faecium,1,1
1300,1,1301,Streptococcus,10799,10799
1301,2,1433513,Streptococcus gwangjuense,9854,9854
1301,2,1313,Streptococcus pneumoniae,51,51
1301,2,28037,Streptococcus mitis,45,45
1301,2,1303,Streptococcus oralis,21,21
1301,1,2608887,unclassified Streptococcus,17,17
2608887,2,2993430,Streptococcus sp. SP4011,5,5
2608887,2,2598453,Streptococcus sp. 116-D4,4,4
2608887,2,712623,Streptococcus sp. oral taxon 061,2,2
2608887,2,712633,Streptococcus sp. oral taxon 431,2,2
2608887,2,2975324,Streptococcus sp. FSL R7-0248,1,1
2608887,2,1902136,Streptococcus sp. NPS 308,1,1
1301,2,1307,Streptococcus suis,6,6
1301,1,119603,Streptococcus dysgalactiae group,3,3
119603,2,1336,Streptococcus equi,2,2
119603,2,1334,Streptococcus dysgalactiae,1,1
1301,2,1311,Streptococcus agalactiae,3,3
1301,2,113107,Streptococcus australis,3,3
1301,2,2819619,Streptococcus toyakuensis,2,2
1301,2,1302,Streptococcus gordonii,2,2
1301,2,257758,Streptococcus pseudopneumoniae,2,2
1301,2,45634,Streptococcus cristatus,2,2
1301,2,1314,Streptococcus pyogenes,2,2
1301,2,1318,Streptococcus parasanguinis,2,2
1301,2,1304,Streptococcus salivarius,1,1
1301,2,1341,Streptococcus ratti,1,1
1301,2,1343,Streptococcus vestibularis,1,1
1301,1,671232,Streptococcus anginosus group,1,1
1300,1,1357,Lactococcus,4,4
1357,2,1363,Lactococcus garvieae,3,3
1357,2,1358,Lactococcus lactis,1,1
33958,1,2742598,Limosilactobacillus,7862,7862
2742598,2,1613,Limosilactobacillus fermentum,7839,7839
2742598,2,1598,Limosilactobacillus reuteri,2,2
2742598,2,104955,Limosilactobacillus frumenti,1,1
2742598,2,227942,Limosilactobacillus gastricus,1,1
33958,1,2767886,Levilactobacillus,6,6
2767886,2,637971,Levilactobacillus koreensis,4,4
2767886,2,1580,Levilactobacillus brevis,2,2
33958,1,2767842,Lactiplantibacillus,4,4
2767842,2,1589,Lactiplantibacillus pentosus,2,2
2767842,2,1590,Lactiplantibacillus plantarum,2,2
33958,1,2767887,Ligilactobacillus,3,3
2767887,2,89059,Ligilactobacillus acidipiscis,3,3
33958,1,1578,Lactobacillus,2,2
1578,2,267818,Lactobacillus kefiranofaciens,2,2
33958,1,46255,Weissella,1,1
46255,2,1631871,Weissella jogaejeotgali,1,1
33958,1,2767879,Companilactobacillus,1,1
2767879,2,2304606,Companilactobacillus zhachilii,1,1
186827,1,2862144,Ruoffia,2699,2699
2862144,2,87458,Ruoffia tabacinasalis,2699,2699
81852,1,1350,Enterococcus,10,10
1350,2,1352,Enterococcus faecium,7,7
1350,2,1354,Enterococcus hirae,1,1
186828,1,29393,Dolosigranulum,5,5
29393,2,29394,Dolosigranulum pigrum,5,5
186828,1,2747,Carnobacterium,2,2
2747,2,2751,Carnobacterium maltaromaticum,2,2
186828,1,1470540,Jeotgalibaca,1,1
1470540,2,2496265,Jeotgalibaca ciconiae,1,1
539738,1,1378,Gemella,6677,6677
1378,2,84135,Gemella sanguinis,6649,6649
1378,2,1379,Gemella haemolysans,3,3
1378,1,2624949,unclassified Gemella,1,1
90964,1,1279,Staphylococcus,15,15
1279,2,1280,Staphylococcus aureus,5,5
1279,2,29382,Staphylococcus cohnii,3,3
1279,2,1283,Staphylococcus haemolyticus,3,3
1279,2,1290,Staphylococcus hominis,2,2
1279,2,2892440,Staphylococcus ratti,1,1
1279,2,1288,Staphylococcus xylosus,1,1
90964,1,2803850,Mammaliicoccus,3,3
2803850,1,2803851,unclassified Mammaliicoccus,3,3
2803851,2,3034233,Mammaliicoccus sp. Dog046,3,3
186817,1,1386,Bacillus,6,6
1386,1,185979,unclassified Bacillus (in: firmicutes),3,3
185979,2,2682541,Bacillus sp. N1-1,3,3
1386,1,86661,Bacillus cereus group,2,2
86661,2,1396,Bacillus cereus,1,1
86661,2,1428,Bacillus thuringiensis,1,1
1386,2,1408,Bacillus pumilus,1,1
186817,1,2675232,Neobacillus,2,2
2675232,2,1193713,Neobacillus mesonae,1,1
2675232,1,2675272,unclassified Neobacillus,1,1
2675272,2,3048535,Neobacillus sp. 114,1,1
186817,1,129337,Geobacillus,2,2
129337,2,1921421,Geobacillus genomosp. 3,2,2
186817,1,459532,Terribacillus,1,1
186817,1,2005375,Alkalicoccus,1,1
2005375,2,1667239,Alkalicoccus halolimnae,1,1
186817,1,2675230,Cytobacillus,1,1
2675230,2,1742359,Cytobacillus dafuensis,1,1
186817,1,2800373,Priestia,1,1
2800373,2,1404,Priestia megaterium,1,1
186817,1,2837506,Niallia,1,1
2837506,1,2837522,unclassified Niallia,1,1
2837522,2,2912824,Niallia sp. Man26,1,1
186822,1,44249,Paenibacillus,10,10
44249,1,185978,unclassified Paenibacillus,10,10
185978,2,2762320,Paenibacillus sp. PAMC21692,2,2
185978,2,2921375,Paenibacillus sp. FSL H8-0079,2,2
185978,2,1532905,Paenibacillus sp. CAA11,1,1
186818,1,1569,Sporosarcina,3,3
1569,1,2647733,unclassified Sporosarcina,3,3
2647733,2,3020056,Sporosarcina sp. B2O-1,2,2
3030910,1,86331,Mogibacterium,9058,9058
86331,2,114527,Mogibacterium diversum,9029,9029
86331,2,86332,Mogibacterium pumilum,1,1
186803,1,1164882,Lachnoanaerobaculum,8633,8633
1164882,2,617123,Lachnoanaerobaculum umeaense,8613,8613
186803,1,207244,Anaerostipes,2,2
207244,2,105841,Anaerostipes caccae,2,2
186803,1,1506553,Lachnoclostridium,2,2
1506553,2,29347,[Clostridium] scindens,2,2
186803,1,841,Roseburia,1,1
841,2,2763062,Roseburia rectibacter,1,1
31979,1,1485,Clostridium,10,10
1485,2,238834,Clostridium estertheticum,5,5
1485,1,2614128,unclassified Clostridium,1,1
2614128,2,3070996,Clostridium sp. MB40-C1,1,1
31979,1,1649459,Hungatella,4,4
1649459,2,154046,Hungatella hathewayi,4,4
31979,1,44258,Caloramator,1,1
44258,1,2629145,unclassified Caloramator,1,1
2629145,2,2576307,Caloramator sp. E03,1,1
31979,1,1848399,Crassaminicella,1,1
1848399,2,2855394,Crassaminicella indica,1,1
2937909,1,79206,Desulfosporosinus,4,4
79206,2,1563,Desulfosporosinus orientis,4,4
2937909,1,56112,Dehalobacter,2,2
56112,1,2635733,unclassified Dehalobacter,2,2
2635733,2,2907827,Dehalobacter sp. DCM,2,2
216572,1,3079925,Amygdalobacter,1,1
3079925,2,3029274,Amygdalobacter nucleatus,1,1
3039168,1,202949,Thermanaeromonas,1,1
202949,2,161154,Thermanaeromonas toyohensis,1,1
1570339,1,31983,Helcococcus,1,1
31983,2,40091,Helcococcus kunzii,1,1
31957,1,1912216,Cutibacterium,56276,56276
1912216,2,1747,Cutibacterium acnes,55910,55910
1912216,2,33010,Cutibacterium avidum,2,2
85015,1,1839,Nocardioides,2,2
1839,2,2483798,Nocardioides pantholopis,2,2
1268,1,32207,Rothia,36831,36831
32207,2,2047,Rothia dentocariosa,36663,36663
32207,2,172042,Rothia aeria,4,4
32207,2,43675,Rothia mucilaginosa,1,1
1268,1,1663,Arthrobacter,3,3
1663,1,235627,unclassified Arthrobacter,2,2
235627,2,3039385,Arthrobacter sp. Y-9,1,1
235627,2,2565366,Arthrobacter sp. PAMC25564,1,1
1268,1,1742989,Glutamicibacter,3,3
1268,1,1742992,Paenarthrobacter,1,1
85016,1,1707,Cellulomonas,2,2
1707,1,2620175,unclassified Cellulomonas,2,2
2620175,2,2003551,Cellulomonas sp. PSBB021,1,1
2620175,2,2962632,Cellulomonas sp. NTE-D12,1,1
85017,1,157920,Cellulosimicrobium,1,1
157920,2,1710,Cellulosimicrobium cellulans,1,1
85018,1,1862,Dermatophilus,1,1
1862,2,1863,Dermatophilus congolensis,1,1
145357,1,908935,Yimella,1,1
908935,1,2649892,unclassified Yimella,1,1
2649892,2,2770551,Yimella sp. cx-51,1,1
2062,1,1883,Streptomyces,10,10
1883,1,2593676,unclassified Streptomyces,8,8
2593676,2,2975946,Streptomyces sp. NBC_01803,3,3
2593676,2,3118173,Streptomyces sp. Q6,2,2
2593676,2,2975669,Streptomyces sp. NBC_00151,1,1
2593676,2,1837283,Streptomyces sp. S8,1,1
2593676,2,3064901,Streptomyces sp. FXY-T5,1,1
2062,1,2063,Kitasatospora,1,1
2063,2,67352,Kitasatospora purpeofusca,1,1
1653,1,1716,Corynebacterium,4,4
1716,2,43770,Corynebacterium striatum,2,2
1716,2,401472,Corynebacterium ureicelerivorans,1,1
1716,2,134034,Corynebacterium freneyi,1,1
85026,1,2053,Gordonia,3,3
2053,1,2657482,unclassified Gordonia (in: high G+C Gram-positive bacteria),2,2
2657482,2,1737359,Gordonia sp. 1D,2,2
2053,2,2831662,Gordonia pseudamarae,1,1
1762,1,1763,Mycobacterium,1,1
1763,2,1719132,Mycobacterium vicinigordonae,1,1
1762,1,1866885,Mycolicibacterium,1,1
1866885,2,1286180,Mycolicibacterium sediminis,1,1
85025,1,1817,Nocardia,1,1
1817,2,455432,Nocardia terpenica,1,1
85025,1,1827,Rhodococcus,1,1
1827,1,192944,unclassified Rhodococcus (in: high G+C Gram-positive bacteria),1,1
192944,2,2806442,Rhodococcus sp. USK13,1,1
2049,1,2529408,Schaalia,5,5
2529408,2,1660,Schaalia odontolytica,4,4
2529408,2,131111,Schaalia turicensis,1,1
2049,1,1654,Actinomyces,1,1
1654,1,2609248,unclassified Actinomyces,1,1
2609248,2,2057798,Actinomyces sp. 432,1,1
2049,1,1069494,Trueperella,1,1
1069494,2,445930,Trueperella abortisuis,1,1
2049,1,2888879,Nanchangia,1,1
